step,loss,data_loss,pde_loss,continuity_loss
1,0.19145379960536957,0.19145379960536957,0.0,0.0
250,1.9912715288228355e-05,1.9912715288228355e-05,0.0,0.0
500,3.930466391466325e-06,3.930466391466325e-06,0.0,0.0
750,2.0495758690231014e-06,2.0495758690231014e-06,0.0,0.0
1000,1.2740655392917688e-06,1.2740655392917688e-06,0.0,0.0
1250,6.6778047767002136e-06,6.6778047767002136e-06,0.0,0.0
1500,6.670973107247846e-06,6.670973107247846e-06,0.0,0.0
1750,3.5463996027829126e-05,3.5463996027829126e-05,0.0,0.0
2000,1.310647462560155e-06,1.310647462560155e-06,0.0,0.0
2250,1.5916455595288426e-05,1.5916455595288426e-05,0.0,0.0
2500,2.4310845674335724e-06,2.4310845674335724e-06,0.0,0.0
2750,1.508406171524257e-06,1.508406171524257e-06,0.0,0.0
3000,7.257895049406216e-07,7.257895049406216e-07,0.0,0.0
3250,2.37156882576528e-06,2.37156882576528e-06,0.0,0.0
3500,1.0030112207459752e-06,1.0030112207459752e-06,0.0,0.0
3750,1.5241574828905868e-06,1.5241574828905868e-06,0.0,0.0
4000,1.4712470601807581e-06,1.4712470601807581e-06,0.0,0.0
